ID_hotspot_globale,x,y,integration_radius
0,67.66,809.38,13.39
1,80.53,96.36,6.38
2,94.67,355.09,8.5
3,139.55,257.49,6.13
4,182.57,172.15,15.2
5,193.71,520.1,8.25
6,232.0,757.5,4.44
7,237.11,244.16,10.36
8,253.65,351.32,9.29
9,336.28,288.32,5.01
10,356.71,847.02,7.51
11,375.1,369.69,5.38
12,415.85,948.68,7.42
13,417.73,550.01,4.26
14,425.49,73.09,6.68
15,429.64,486.98,11.18
16,503.31,998.69,5.89
17,596.48,527.97,4.33
18,610.09,336.18,3.91
19,649.49,440.38,6.91
20,649.81,574.03,12.6
21,660.8,688.5,6.41
22,700.41,366.42,3.91
23,808.07,587.39,8.83
24,816.52,315.2,7.07
25,868.58,1007.51,13.99
26,1006.99,123.12,4.37
27,1048.38,957.19,8.14
28,1051.57,804.32,6.58
29,1068.22,234.5,4.62
30,1088.03,910.17,6.63
31,1088.99,687.71,6.48
32,1148.98,429.01,5.56
33,1169.51,239.77,14.24
34,1176.84,929.62,5.86
35,1180.63,593.5,4.75
36,1227.88,667.09,8.18
37,1241.39,154.5,5.14
38,1244.61,484.28,8.23
39,1254.66,595.81,4.92
40,1254.77,232.77,4.41
41,1266.87,413.27,4.26
42,1287.8,874.2,4.98
43,1292.85,320.52,5.61
44,1320.55,74.16,4.37
45,1372.44,811.2,7.72
46,1376.03,912.96,7.51
47,1387.16,117.34,5.64
48,1404.2,206.54,7.86
49,1497.07,508.22,11.56
50,1502.78,863.91,7.11
51,1536.33,405.82,5.97
52,1584.73,651.82,4.3
53,1584.79,810.23,3.66
54,1732.84,722.96,15.74
55,1772.47,478.78,9.29
56,1782.8,556.0,8.04
57,1820.96,357.3,9.04
58,1821.65,993.59,8.35
59,1851.67,558.28,10.73
