x,y,luminosity,error,T,v
574.74,851.93,566.542,3.03862,20.0,59.3
501.74,811.38,219.015,3.14164,20.0,59.3
1140.95,646.74,35.5208,2.55437,20.0,59.3
369.85,505.8,117.641,3.02225,20.0,59.3
1404.79,475.08,56.5965,2.91487,20.0,59.3
297.71,457.56,36.5746,2.80294,20.0,59.3
1329.5,312.47,34.0661,2.73196,20.0,59.3
1498.07,262,25.5244,2.72357,20.0,59.3
1077.83,181.82,139.965,3.64127,20.0,59.3
1811.1,172.47,62.2504,3.0163,20.0,59.3
681.78,68.91,73.8639,3.02566,20.0,59.3
844.65,69.6,19.3296,3.17278,20.0,59.3
